doc_id,plano,periodo,capitulo_num,capitulo_nome,pagina_inicio,pagina_fim,termo_busca,contexto_anterior,contexto_posterior,contexto_completo_kwic,evidencia_texto,localizacao_precisa,mecanismo_hipotetico
PQ13_Cap_34,PQ13,2016-2020,34,Chapter 28 Strengthen Information Security,76,78,cybersecurity,infrastructure promote innovation adoption e-commerce key areas promote development comprehensive experimental zones crossborder e-commerce hangzhou areas build international ecommerce thoroughfares,implement national information_security project become better able ensure security key information infrastructure important information systems classified information systems use better,infrastructure promote innovation adoption e-commerce key areas promote development comprehensive experimental zones crossborder e-commerce hangzhou areas build international ecommerce thoroughfares cybersecurity implement national information_security project become better able ensure security key information infrastructure important information systems classified information systems use better,infrastructure promote innovation adoption e-commerce key areas promote development comprehensive experimental zones crossborder e-commerce hangzhou areas build international ecommerce thoroughfares [cybersecurity] implement national information_security project become better able ensure security key information infrastructure important information systems classified information systems use better,"PQ13, Chapter 28 Strengthen Information Security (pp. 76-78)",M1: Securitização Holística e Gestão de Riscos
PQ13_Cap_45,PQ13,2016-2020,45,PART IX,104,104,belt_and_road_initiative,ix development coordinated regions based master strategy regional development using guidance,integration beijing tianjin hebei yangtze economic belt promote formation north-south east-west intersecting economic belts primarily along coastline yangtze river major,ix development coordinated regions based master strategy regional development using guidance belt_and_road_initiative integration beijing tianjin hebei yangtze economic belt promote formation north-south east-west intersecting economic belts primarily along coastline yangtze river major,ix development coordinated regions based master strategy regional development using guidance [belt_and_road_initiative] integration beijing tianjin hebei yangtze economic belt promote formation north-south east-west intersecting economic belts primarily along coastline yangtze river major,"PQ13, PART IX (pp. 104-104)",M3: Governança Global e Projeção Normativa
PQ13_Cap_46,PQ13,2016-2020,46,Chapter 37 Implement the Master Strategy for Regional Development,105,107,belt_and_road_initiative,regions strive narrow gaps regional development development western region give high priority implementing strategy large scale development western region ensure,able better drive development region accelerate development interregional international corridors well regional hubs improve infrastructure work achieve significant improvements transportation,regions strive narrow gaps regional development development western region give high priority implementing strategy large scale development western region ensure belt_and_road_initiative able better drive development region accelerate development interregional international corridors well regional hubs improve infrastructure work achieve significant improvements transportation,regions strive narrow gaps regional development development western region give high priority implementing strategy large scale development western region ensure [belt_and_road_initiative] able better drive development region accelerate development interregional international corridors well regional hubs improve infrastructure work achieve significant improvements transportation,"PQ13, Chapter 37 Implement the Master Strategy for Regional Development (pp. 105-107)",M3: Governança Global e Projeção Normativa
PQ13_Cap_51,PQ13,2016-2020,51,PART X,119,119,beautiful_china,efforts ensure resources used efficiently quality ecological goods available public simultaneously help people become prosperous help country grow stronger build,NA,efforts ensure resources used efficiently quality ecological goods available public simultaneously help people become prosperous help country grow stronger build beautiful_china,efforts ensure resources used efficiently quality ecological goods available public simultaneously help people become prosperous help country grow stronger build [beautiful_china] ,"PQ13, PART X (pp. 119-119)",M5: Civilização Ecológica e Transição Verde
PQ13_Cap_59,PQ13,2016-2020,59,PART XI,141,141,belt_and_road_initiative,xi all-around opening,paving way give greater meaning notion opening increase level openness coordinate efforts strengthen strategic mutual trust investment trade cooperation cultural,xi all-around opening belt_and_road_initiative paving way give greater meaning notion opening increase level openness coordinate efforts strengthen strategic mutual trust investment trade cooperation cultural,xi all-around opening [belt_and_road_initiative] paving way give greater meaning notion opening increase level openness coordinate efforts strengthen strategic mutual trust investment trade cooperation cultural,"PQ13, PART XI (pp. 141-141)",M3: Governança Global e Projeção Normativa
PQ13_Cap_62,PQ13,2016-2020,62,Chapter 51 Move Forward with the Belt and Road Initiative,147,149,belt_and_road_initiative,move forward,uphold amity sincerity mutual benefit inclusiveness well principle joint discussion common development shared growth look undertake practical mutually-beneficial cooperation multiple,move forward belt_and_road_initiative uphold amity sincerity mutual benefit inclusiveness well principle joint discussion common development shared growth look undertake practical mutually-beneficial cooperation multiple,move forward [belt_and_road_initiative] uphold amity sincerity mutual benefit inclusiveness well principle joint discussion common development shared growth look undertake practical mutually-beneficial cooperation multiple,"PQ13, Chapter 51 Move Forward with the Belt and Road Initiative (pp. 147-149)",M3: Governança Global e Projeção Normativa
PQ13_Cap_62,PQ13,2016-2020,62,Chapter 51 Move Forward with the Belt and Road Initiative,147,149,belt_and_road_initiative,mutual benefit inclusiveness well principle joint discussion common development shared growth look undertake practical mutually-beneficial cooperation multiple countries regions involved,aim developing new picture all-around opening opened world eastward westward links across land sea cooperation mechanisms improve bilateral multilateral cooperation,mutual benefit inclusiveness well principle joint discussion common development shared growth look undertake practical mutually-beneficial cooperation multiple countries regions involved belt_and_road_initiative aim developing new picture all-around opening opened world eastward westward links across land sea cooperation mechanisms improve bilateral multilateral cooperation,mutual benefit inclusiveness well principle joint discussion common development shared growth look undertake practical mutually-beneficial cooperation multiple countries regions involved [belt_and_road_initiative] aim developing new picture all-around opening opened world eastward westward links across land sea cooperation mechanisms improve bilateral multilateral cooperation,"PQ13, Chapter 51 Move Forward with the Belt and Road Initiative (pp. 147-149)",M3: Governança Global e Projeção Normativa
PQ13_Cap_62,PQ13,2016-2020,62,Chapter 51 Move Forward with the Belt and Road Initiative,147,149,belt_and_road_initiative,developing new picture all-around opening opened world eastward westward links across land sea cooperation mechanisms improve bilateral multilateral cooperation mechanisms,focusing policy communication infrastructure connectivity trade facilitation capital flow people-to people exchanges increase cohesion development plans technological standards countries along,developing new picture all-around opening opened world eastward westward links across land sea cooperation mechanisms improve bilateral multilateral cooperation mechanisms belt_and_road_initiative focusing policy communication infrastructure connectivity trade facilitation capital flow people-to people exchanges increase cohesion development plans technological standards countries along,developing new picture all-around opening opened world eastward westward links across land sea cooperation mechanisms improve bilateral multilateral cooperation mechanisms [belt_and_road_initiative] focusing policy communication infrastructure connectivity trade facilitation capital flow people-to people exchanges increase cohesion development plans technological standards countries along,"PQ13, Chapter 51 Move Forward with the Belt and Road Initiative (pp. 147-149)",M3: Governança Global e Projeção Normativa
PQ13_Cap_62,PQ13,2016-2020,62,Chapter 51 Move Forward with the Belt and Road Initiative,147,149,belt_and_road_initiative,policy communication infrastructure connectivity trade facilitation capital flow people-to people exchanges increase cohesion development plans technological standards countries along routes,make efforts facilitate transport among countries along routes simplify customs clearance procedures along routes establish diversified project based financing model,policy communication infrastructure connectivity trade facilitation capital flow people-to people exchanges increase cohesion development plans technological standards countries along routes belt_and_road_initiative make efforts facilitate transport among countries along routes simplify customs clearance procedures along routes establish diversified project based financing model,policy communication infrastructure connectivity trade facilitation capital flow people-to people exchanges increase cohesion development plans technological standards countries along routes [belt_and_road_initiative] make efforts facilitate transport among countries along routes simplify customs clearance procedures along routes establish diversified project based financing model,"PQ13, Chapter 51 Move Forward with the Belt and Road Initiative (pp. 147-149)",M3: Governança Global e Projeção Normativa
PQ13_Cap_62,PQ13,2016-2020,62,Chapter 51 Move Forward with the Belt and Road Initiative,147,149,belt_and_road_initiative,silk road work develop maritime silk road influential international shipping indicator open inclusive cultural exchanges work ensure success international summit,give expression role silk road dunhuang international culture expo conduct extensive international cooperation areas education science technology culture sports tourism,silk road work develop maritime silk road influential international shipping indicator open inclusive cultural exchanges work ensure success international summit belt_and_road_initiative give expression role silk road dunhuang international culture expo conduct extensive international cooperation areas education science technology culture sports tourism,silk road work develop maritime silk road influential international shipping indicator open inclusive cultural exchanges work ensure success international summit [belt_and_road_initiative] give expression role silk road dunhuang international culture expo conduct extensive international cooperation areas education science technology culture sports tourism,"PQ13, Chapter 51 Move Forward with the Belt and Road Initiative (pp. 147-149)",M3: Governança Global e Projeção Normativa
PQ13_Cap_63,PQ13,2016-2020,63,Chapter 52 Participate in Global Economic Governance,150,150,belt_and_road_initiative,systems speed efforts implement free trade area strategy gradually establishing network high-standard_free_trade areas actively engage negotiations countries regions along routes,building free trade areas accelerate negotiations regional comprehensive economic partnership agreements china-gulf cooperation council free trade area china-japan rok free,systems speed efforts implement free trade area strategy gradually establishing network high-standard_free_trade areas actively engage negotiations countries regions along routes belt_and_road_initiative building free trade areas accelerate negotiations regional comprehensive economic partnership agreements china-gulf cooperation council free trade area china-japan rok free,systems speed efforts implement free trade area strategy gradually establishing network high-standard_free_trade areas actively engage negotiations countries regions along routes [belt_and_road_initiative] building free trade areas accelerate negotiations regional comprehensive economic partnership agreements china-gulf cooperation council free trade area china-japan rok free,"PQ13, Chapter 52 Participate in Global Economic Governance (pp. 150-150)",M3: Governança Global e Projeção Normativa
PQ13_Cap_64,PQ13,2016-2020,64,Chapter 53 Assume International Responsibilities and Obligations,151,151,cybersecurity,areas control work countries maintain safety international corridors work enhance multilateral bilateral coordination participate international cyberspace governance help safeguard global,help promote international cooperation corruption,areas control work countries maintain safety international corridors work enhance multilateral bilateral coordination participate international cyberspace governance help safeguard global cybersecurity help promote international cooperation corruption,areas control work countries maintain safety international corridors work enhance multilateral bilateral coordination participate international cyberspace governance help safeguard global [cybersecurity] help promote international cooperation corruption,"PQ13, Chapter 53 Assume International Responsibilities and Obligations (pp. 151-151)",M1: Securitização Holística e Gestão de Riscos
PQ13_Cap_66,PQ13,2016-2020,66,"Chapter 54 Support Long-Term Prosperity, Stability, and Development in Hong Kong",152,153,belt_and_road_initiative,economy order achieve sustainable economic development deeper cooperation mainland hong kong macao support hong kong macao participating country’s bidirectional opening,encourage mainland hong kong macao enterprises go global capitalizing respective strengths multiple forms partnership open mainland widely hong kong macao,economy order achieve sustainable economic development deeper cooperation mainland hong kong macao support hong kong macao participating country’s bidirectional opening belt_and_road_initiative encourage mainland hong kong macao enterprises go global capitalizing respective strengths multiple forms partnership open mainland widely hong kong macao,economy order achieve sustainable economic development deeper cooperation mainland hong kong macao support hong kong macao participating country’s bidirectional opening [belt_and_road_initiative] encourage mainland hong kong macao enterprises go global capitalizing respective strengths multiple forms partnership open mainland widely hong kong macao,"PQ13, Chapter 54 Support Long-Term Prosperity, Stability, and Development in Hong Kong (pp. 152-153)",M3: Governança Global e Projeção Normativa
PQ13_Cap_72,PQ13,2016-2020,72,Chapter 59 Modernize Education,162,166,belt_and_road_initiative,procurement develop modern remote online learning focus vocational education applied higher education international exchanges cooperation education promote educational activities related,implement study abroad action continue ensure confucius institutes run successfully,procurement develop modern remote online learning focus vocational education applied higher education international exchanges cooperation education promote educational activities related belt_and_road_initiative implement study abroad action continue ensure confucius institutes run successfully,procurement develop modern remote online learning focus vocational education applied higher education international exchanges cooperation education promote educational activities related [belt_and_road_initiative] implement study abroad action continue ensure confucius institutes run successfully,"PQ13, Chapter 59 Modernize Education (pp. 162-166)",M3: Governança Global e Projeção Normativa
PQ13_Cap_82,PQ13,2016-2020,82,Chapter 67 Strengthen Civic Development,190,191,chinese_dream,advocate traditional virtues alongside modern virtues promote spirit science humanity advance civic development civility throughout society core socialist values use,core socialist values build consensus bring together different forces strengthen national identity rule_of_law awareness moral consciousness sense social responsibility ecological,advocate traditional virtues alongside modern virtues promote spirit science humanity advance civic development civility throughout society core socialist values use chinese_dream core socialist values build consensus bring together different forces strengthen national identity rule_of_law awareness moral consciousness sense social responsibility ecological,advocate traditional virtues alongside modern virtues promote spirit science humanity advance civic development civility throughout society core socialist values use [chinese_dream] core socialist values build consensus bring together different forces strengthen national identity rule_of_law awareness moral consciousness sense social responsibility ecological,"PQ13, Chapter 67 Strengthen Civic Development (pp. 190-191)",M6: Teleologia Nacional e Fins Estruturais
PQ13_Cap_88,PQ13,2016-2020,88,Chapter 73 Develop the National Security System,207,208,cybersecurity,security implement national security law formulate implementation regulations promote legislative work areas involving national security national economic_security nonproliferation national intelligence,export control foreign agent registration security reviews businesses involving foreign capital speed efforts improve system laws relating national security make,security implement national security law formulate implementation regulations promote legislative work areas involving national security national economic_security nonproliferation national intelligence cybersecurity export control foreign agent registration security reviews businesses involving foreign capital speed efforts improve system laws relating national security make,security implement national security law formulate implementation regulations promote legislative work areas involving national security national economic_security nonproliferation national intelligence [cybersecurity] export control foreign agent registration security reviews businesses involving foreign capital speed efforts improve system laws relating national security make,"PQ13, Chapter 73 Develop the National Security System (pp. 207-208)",M1: Securitização Holística e Gestão de Riscos
PQ14_Cap_03,PQ14,2021-2025,3,Article I Development environment,7,9,great_rejuvenation_of_the_chinese_nation,strength people's standard living jumped new level grand historic achievements made establishing well-off society all-round way new strides made toward,中华 民族 伟大 复兴 socialist stands east majestic posture china's development environment faces profoundly complex changes china's development still important,strength people's standard living jumped new level grand historic achievements made establishing well-off society all-round way new strides made toward great_rejuvenation_of_the_chinese_nation 中华 民族 伟大 复兴 socialist stands east majestic posture china's development environment faces profoundly complex changes china's development still important,strength people's standard living jumped new level grand historic achievements made establishing well-off society all-round way new strides made toward [great_rejuvenation_of_the_chinese_nation] 中华 民族 伟大 复兴 socialist stands east majestic posture china's development environment faces profoundly complex changes china's development still important,"PQ14, Article I Development environment (pp. 7-9)",M6: Teleologia Nacional e Fins Estruturais
PQ14_Cap_03,PQ14,2021-2025,3,Article I Development environment,7,9,great_rejuvenation_of_the_chinese_nation,stark long way go environmental_protection shortcomings livelihood protection weaknesses social governance 社会 治理 necessary provide overall planning entire strategic situation,once-in-a-century shift world situation profoundly understand new features new requirements created change main contradiction society profoundly understand contradictions challenges created,stark long way go environmental_protection shortcomings livelihood protection weaknesses social governance 社会 治理 necessary provide overall planning entire strategic situation great_rejuvenation_of_the_chinese_nation once-in-a-century shift world situation profoundly understand new features new requirements created change main contradiction society profoundly understand contradictions challenges created,stark long way go environmental_protection shortcomings livelihood protection weaknesses social governance 社会 治理 necessary provide overall planning entire strategic situation [great_rejuvenation_of_the_chinese_nation] once-in-a-century shift world situation profoundly understand new features new requirements created change main contradiction society profoundly understand contradictions challenges created,"PQ14, Article I Development environment (pp. 7-9)",M6: Teleologia Nacional e Fins Estruturais
PQ14_Cap_04,PQ14,2021-2025,4,Article II Guiding directives,10,12,xi_jinping_thought,plenums 19th ccp central_committee persist taking marxismleninism mao zedong thought deng xiaoping theory important thinking three represents scientific development concept,translator's report 19th party congress xi jinping defined main contradiction 主要 矛盾 society contradiction people's ever-increasing need good life one,plenums 19th ccp central_committee persist taking marxismleninism mao zedong thought deng xiaoping theory important thinking three represents scientific development concept xi_jinping_thought translator's report 19th party congress xi jinping defined main contradiction 主要 矛盾 society contradiction people's ever-increasing need good life one,plenums 19th ccp central_committee persist taking marxismleninism mao zedong thought deng xiaoping theory important thinking three represents scientific development concept [xi_jinping_thought] translator's report 19th party congress xi jinping defined main contradiction 主要 矛盾 society contradiction people's ever-increasing need good life one,"PQ14, Article II Guiding directives (pp. 10-12)",M4: Liderança Estratégica e Capacidade Central
PQ14_Cap_04,PQ14,2021-2025,4,Article II Guiding directives,10,12,ecological_civilization,basic theory basic line basic strategy use comprehensive planning advance overall layout economic construction political construction cultural construction social construction,construction promote coordinated fashion strategic layout comprehensive deepening reform comprehensively ruling country according law 依法 治国 comprehensively governing party strictly,basic theory basic line basic strategy use comprehensive planning advance overall layout economic construction political construction cultural construction social construction ecological_civilization construction promote coordinated fashion strategic layout comprehensive deepening reform comprehensively ruling country according law 依法 治国 comprehensively governing party strictly,basic theory basic line basic strategy use comprehensive planning advance overall layout economic construction political construction cultural construction social construction [ecological_civilization] construction promote coordinated fashion strategic layout comprehensive deepening reform comprehensively ruling country according law 依法 治国 comprehensively governing party strictly,"PQ14, Article II Guiding directives (pp. 10-12)",M5: Civilização Ecológica e Transição Verde
PQ14_Cap_04,PQ14,2021-2025,4,Article II Guiding directives,10,12,coordinate_development_and_security,main theme deepening supply-side_structural_reform main line reform innovation fundamental driving force satisfying people's ever-increasing need good life fundamental goal also,accelerate construction modernized economy accelerate establishment new_development_pattern 新 发展 格局 domestic great circulation 国内 大 循 环 mainstay featuring mutually,main theme deepening supply-side_structural_reform main line reform innovation fundamental driving force satisfying people's ever-increasing need good life fundamental goal also coordinate_development_and_security accelerate construction modernized economy accelerate establishment new_development_pattern 新 发展 格局 domestic great circulation 国内 大 循 环 mainstay featuring mutually,main theme deepening supply-side_structural_reform main line reform innovation fundamental driving force satisfying people's ever-increasing need good life fundamental goal also [coordinate_development_and_security] accelerate construction modernized economy accelerate establishment new_development_pattern 新 发展 格局 domestic great circulation 国内 大 循 环 mainstay featuring mutually,"PQ14, Article II Guiding directives (pp. 10-12)",M1: Securitização Holística e Gestão de Riscos
PQ14_Cap_04,PQ14,2021-2025,4,Article II Guiding directives,10,12,dual_circulation,economy accelerate establishment new_development_pattern 新 发展 格局 domestic great circulation 国内 大 循 环 mainstay featuring mutually reinforcing domestic international,双 循环 promote modernization national governance structure governance_capacity achieve stable far-reaching economic progress stable harmonious society make good start good,economy accelerate establishment new_development_pattern 新 发展 格局 domestic great circulation 国内 大 循 环 mainstay featuring mutually reinforcing domestic international dual_circulation 双 循环 promote modernization national governance structure governance_capacity achieve stable far-reaching economic progress stable harmonious society make good start good,economy accelerate establishment new_development_pattern 新 发展 格局 domestic great circulation 国内 大 循 环 mainstay featuring mutually reinforcing domestic international [dual_circulation] 双 循环 promote modernization national governance structure governance_capacity achieve stable far-reaching economic progress stable harmonious society make good start good,"PQ14, Article II Guiding directives (pp. 10-12)",M3: Governança Global e Projeção Normativa
PQ14_Cap_04,PQ14,2021-2025,4,Article II Guiding directives,10,12,common_prosperity,new development concept constructing new_development_pattern provide fundamental assurance achieving high-quality_development persist people-centered 以 人为 中心 adhere mainstay status people direction,always practice development people development people sharing fruits development people protect people's fundamental interests inspire enthusiasm initiative creativity people promote,new development concept constructing new_development_pattern provide fundamental assurance achieving high-quality_development persist people-centered 以 人为 中心 adhere mainstay status people direction common_prosperity always practice development people development people sharing fruits development people protect people's fundamental interests inspire enthusiasm initiative creativity people promote,new development concept constructing new_development_pattern provide fundamental assurance achieving high-quality_development persist people-centered 以 人为 中心 adhere mainstay status people direction [common_prosperity] always practice development people development people sharing fruits development people protect people's fundamental interests inspire enthusiasm initiative creativity people promote,"PQ14, Article II Guiding directives (pp. 10-12)",M6: Teleologia Nacional e Fins Estruturais
PQ14_Cap_05,PQ14,2021-2025,5,Article III Main goals,13,16,beautiful_china,green modes production living broadly take shape carbon emissions decline steadily reaching peak ecological_environment fundamentally taken turn better goal building,basically achieved new pattern opening outside formed new advantages participating international economic cooperation competition significantly strengthened per-capita gross domestic product,green modes production living broadly take shape carbon emissions decline steadily reaching peak ecological_environment fundamentally taken turn better goal building beautiful_china basically achieved new pattern opening outside formed new advantages participating international economic cooperation competition significantly strengthened per-capita gross domestic product,green modes production living broadly take shape carbon emissions decline steadily reaching peak ecological_environment fundamentally taken turn better goal building [beautiful_china] basically achieved new pattern opening outside formed new advantages participating international economic cooperation competition significantly strengthened per-capita gross domestic product,"PQ14, Article III Main goals (pp. 13-16)",M5: Civilização Ecológica e Transição Verde
PQ14_Cap_05,PQ14,2021-2025,5,Article III Main goals,13,16,common_prosperity,平安 中国 reach new level national_defense_and_armed_forces_modernization basically achieved people's lives better still obvious substantive progress made toward comprehensive human development,main objectives economic social development 14th fiveyear period new results economic development achieved development foundation key solving china's problems development,平安 中国 reach new level national_defense_and_armed_forces_modernization basically achieved people's lives better still obvious substantive progress made toward comprehensive human development common_prosperity main objectives economic social development 14th fiveyear period new results economic development achieved development foundation key solving china's problems development,平安 中国 reach new level national_defense_and_armed_forces_modernization basically achieved people's lives better still obvious substantive progress made toward comprehensive human development [common_prosperity] main objectives economic social development 14th fiveyear period new results economic development achieved development foundation key solving china's problems development,"PQ14, Article III Main goals (pp. 13-16)",M6: Teleologia Nacional e Fins Estruturais
